name,lon,lat,building_height_m,required_height_m,spare_m,distance_km
,79.95972,7.06382,6.4,2.9,3.5,65.9
Perera and Sons,80.00598,7.08823,6.4,2.9,3.5,62.6
,79.93533,7.10535,6.4,2.9,3.5,70.4
,79.94699,7.08194,6.4,2.9,3.5,68.1
,80.01345,7.09039,6.4,2.9,3.5,62.0
,80.00454,7.07245,6.4,2.9,3.5,61.9
,80.01184,7.08861,6.4,2.9,3.5,62.1
,80.01004,7.0898,6.4,2.9,3.5,62.3
,79.9871,7.07651,6.4,2.9,3.5,63.9
,80.01727,7.09491,6.4,2.9,3.5,61.9
,80.04758,7.10885,6.4,2.9,3.5,59.9
,79.91769,7.07699,6.4,2.9,3.5,70.8
,80.03374,7.08645,9.6,6.1,3.5,59.9
,80.03299,7.08942,6.4,2.9,3.5,60.1
,80.03279,7.08923,6.4,2.9,3.5,60.1
,80.02696,7.07853,6.4,2.9,3.5,60.1
,80.03218,7.08502,6.4,2.9,3.5,60.0
,80.03259,7.08947,6.4,2.9,3.5,60.2
,80.02513,7.08967,6.4,2.9,3.5,60.9
,80.03336,7.07658,6.4,2.9,3.5,59.4
,79.92036,7.08934,6.4,2.9,3.5,71.1
,79.92498,7.08534,6.4,2.9,3.5,70.4
,80.05338,7.09398,6.4,2.9,3.5,58.5
,80.01962,7.0802,6.4,2.9,3.5,60.9
,79.91134,7.07108,6.4,2.9,3.5,71.1
,79.97958,7.03743,6.4,2.9,3.5,62.7
,79.97831,7.03303,6.4,2.9,3.5,62.7
,79.98023,7.03123,6.4,2.9,3.5,62.4
,79.9983,7.03694,6.4,2.9,3.5,60.8
,79.9983,7.08643,6.4,2.9,3.5,63.3
,79.91868,7.08634,6.4,2.9,3.5,71.1
,79.99337,7.03359,6.4,2.9,3.5,61.2
,79.99335,7.03418,6.4,2.9,3.5,61.2
,79.94087,7.07109,6.4,2.9,3.5,68.2
,79.99603,7.07698,6.4,2.9,3.5,63.0
,79.95162,7.06517,6.4,2.9,3.5,66.8
,80.01273,7.0871,6.4,2.9,3.5,61.9
,80.01024,7.09698,6.4,2.9,3.5,62.7
,80.00839,7.06569,6.4,2.9,3.5,61.2
,80.01418,7.05184,6.4,2.9,3.5,60.0
,80.05153,7.11065,6.4,2.9,3.5,59.7
,79.97813,7.04889,6.4,2.9,3.5,63.4
,80.04565,7.099,6.4,2.9,3.5,59.5
,80.02631,7.07254,6.4,2.9,3.5,59.8
,80.0168,7.05351,6.4,2.9,3.5,59.8
,79.87808,7.13091,6.4,2.9,3.5,77.3
,79.96538,7.036,6.4,2.9,3.5,64.1
,80.02476,7.06388,6.4,2.9,3.5,59.5
,80.0409,7.08784,6.4,2.9,3.5,59.3
,80.03353,7.07655,6.4,2.9,3.5,59.4
,80.02649,7.08545,6.4,2.9,3.5,60.5
,79.89031,7.10159,6.4,2.9,3.5,74.7
,79.88717,7.0727,6.4,2.9,3.5,73.7
,79.89287,7.06118,6.4,2.9,3.5,72.6
,79.89299,7.06112,6.4,2.9,3.5,72.6
,79.9592,7.05785,6.4,2.9,3.5,65.7
,80.0455,7.10665,6.4,2.9,3.5,60.0
,80.04541,7.10236,9.6,6.1,3.5,59.7
,79.91146,7.13478,6.4,2.9,3.5,74.3
,79.89819,7.06529,9.6,6.1,3.5,72.2
,80.24127,7.29295,6.4,2.9,3.5,60.6
,79.92596,6.89128,6.4,2.9,3.5,64.0
,79.87496,6.92403,6.4,2.9,3.5,70.2
,79.95679,7.07109,6.4,3.0,3.4,66.6
,79.95619,7.06163,6.4,3.0,3.4,66.2
,79.9531,7.06101,6.4,3.0,3.4,66.5
,79.9642,7.06276,6.4,3.0,3.4,65.4
,79.97387,7.04961,6.4,3.0,3.4,63.9
,79.96405,7.06672,6.4,3.0,3.4,65.6
,79.9738,7.07417,6.4,3.0,3.4,65.0
,79.98072,7.08348,6.4,3.0,3.4,64.8
,79.98942,7.08058,6.4,3.0,3.4,63.8
,79.96601,7.09368,6.4,3.0,3.4,66.8
,80.00444,6.96854,6.4,3.0,3.4,57.5
,80.0043,6.96855,6.4,3.0,3.4,57.5
,80.00535,7.09485,6.4,3.0,3.4,63.1
,79.95181,7.07699,6.4,3.0,3.4,67.4
,80.00775,7.09828,6.4,3.0,3.4,63.0
,79.95778,7.07581,6.4,3.0,3.4,66.7
,80.03461,7.08391,6.4,3.0,3.4,59.7
,80.03468,7.08403,6.4,3.0,3.4,59.7
,80.03932,7.09695,6.4,3.0,3.4,60.0
,80.0185,7.05449,6.4,3.0,3.4,59.7
,80.00621,7.08964,6.4,3.0,3.4,62.7
,79.99025,7.07084,6.4,3.0,3.4,63.3
,80.03889,7.08585,6.4,3.0,3.4,59.4
,80.02697,7.08525,6.4,3.0,3.4,60.5
,80.01455,7.08907,6.4,3.0,3.4,61.9
,80.02452,7.08524,6.4,3.0,3.4,60.7
,80.02773,7.08028,6.4,3.0,3.4,60.1
,79.9321,7.08849,6.4,3.0,3.4,69.9
,80.02023,7.08056,6.4,3.0,3.4,60.9
,80.01942,7.07974,6.4,3.0,3.4,60.9
,79.98586,7.04656,6.4,3.0,3.4,62.5
,79.9858,7.04669,6.4,3.0,3.4,62.5
,79.96556,7.04192,6.4,3.0,3.4,64.4
,79.99009,7.03817,6.4,3.0,3.4,61.7
,80.0197,7.08304,6.4,3.0,3.4,61.0
,80.03449,7.08403,6.4,3.0,3.4,59.7
,80.04881,7.10896,6.4,3.0,3.4,59.8
,80.02349,7.09228,6.4,3.0,3.4,61.2
,79.98053,7.05105,6.4,3.0,3.4,63.3
,79.96121,7.07818,6.4,3.0,3.4,66.5
,79.95186,7.07689,6.4,3.0,3.4,67.4
,79.94024,7.0661,6.4,3.0,3.4,68.0
,79.8974,7.08691,6.4,3.0,3.4,73.3
Excise Station,79.89358,7.08358,6.4,3.0,3.4,73.5
,79.9614,7.0679,9.6,6.2,3.4,66.0
,79.98756,7.04263,6.4,3.0,3.4,62.2
,79.88018,7.11833,6.4,3.0,3.4,76.5
,79.91966,7.13719,6.4,3.0,3.4,73.6
,80.10358,6.12868,6.4,3.0,3.4,87.1
,80.02504,6.44403,6.4,3.0,3.4,66.2
74/5,79.91189,6.83952,6.4,3.0,3.4,65.0
,80.38886,6.66727,9.6,6.2,3.4,19.9
,79.95265,7.00207,6.0,2.6,3.4,64.1
Vallibel finance,79.95273,7.00219,6.0,2.6,3.4,64.1
,79.94024,6.88648,6.4,3.0,3.4,62.4
,79.94027,6.88643,6.4,3.0,3.4,62.4
,79.95403,7.0724,6.4,3.1,3.3,66.9
,79.95539,7.06287,6.4,3.1,3.3,66.3
,79.9714,7.06371,6.4,3.1,3.3,64.8
,79.96443,7.06736,6.4,3.1,3.3,65.6
,79.96234,7.09526,6.4,3.1,3.3,67.2
,80.38066,6.70989,9.6,6.3,3.3,17.1
,80.0076,7.09111,6.4,3.1,3.3,62.6
,80.039,7.08053,6.4,3.1,3.3,59.1
,80.03888,7.08062,6.4,3.1,3.3,59.1
,80.01389,7.10041,6.4,3.1,3.3,62.6
,79.94266,7.07841,6.4,3.1,3.3,68.3
,80.00495,7.05271,6.4,3.1,3.3,60.9
,80.01743,7.05244,6.4,3.1,3.3,59.7
,80.00598,7.08885,6.4,3.1,3.3,62.7
Orient Finance,80.00595,7.08864,6.4,3.1,3.3,62.7
,80.02238,7.09645,6.4,3.1,3.3,61.5
,80.02284,7.09669,6.4,3.1,3.3,61.5
,80.00217,7.08456,6.4,3.1,3.3,62.8
,80.00029,7.0867,6.4,3.1,3.3,63.1
,79.98487,7.0572,6.4,3.1,3.3,63.1
,80.02531,7.09238,6.4,3.1,3.3,61.0
,80.02874,7.09477,6.4,3.1,3.3,60.8
,80.04169,7.09344,6.4,3.1,3.3,59.5
,80.02486,7.08567,6.4,3.1,3.3,60.7
,80.02775,7.08115,9.6,6.3,3.3,60.2
,80.02548,7.08383,6.4,3.1,3.3,60.5
,80.02597,7.08077,6.4,3.1,3.3,60.3
,80.02809,7.07986,6.4,3.1,3.3,60.1
,80.03233,7.07772,6.4,3.1,3.3,59.5
,79.96232,7.04797,6.4,3.1,3.3,65.0
,79.91436,7.07303,6.4,3.1,3.3,70.9
,79.93329,7.09443,6.4,3.1,3.3,70.1
,79.99055,7.03695,6.4,3.1,3.3,61.6
,79.8906,7.09116,6.4,3.1,3.3,74.1
,79.93053,7.06605,6.4,3.1,3.3,69.0
,79.89998,7.06031,6.4,3.1,3.3,71.8
,79.93201,7.10856,6.4,3.1,3.3,70.9
,80.00594,7.08874,6.4,3.1,3.3,62.7
,79.98027,7.05046,6.4,3.1,3.3,63.3
,79.98026,7.05037,6.4,3.1,3.3,63.3
,80.008,7.0892,6.4,3.1,3.3,62.5
,80.02549,7.078,6.4,3.1,3.3,60.2
,79.93799,7.10102,6.4,3.1,3.3,69.9
,80.01363,7.09224,6.4,3.1,3.3,62.1
,80.02467,7.06401,6.4,3.1,3.3,59.5
,80.02699,7.07252,6.4,3.1,3.3,59.8
,79.88857,7.07963,6.4,3.1,3.3,73.8
,79.8828,7.10583,6.4,3.1,3.3,75.6
,79.89439,7.07429,6.4,3.1,3.3,73.0
,79.89309,7.0614,6.4,3.1,3.3,72.6
,79.89337,7.06026,6.4,3.1,3.3,72.5
,79.89325,7.06144,6.4,3.1,3.3,72.6
,79.89414,7.06376,6.4,3.1,3.3,72.6
,79.88726,7.11292,6.4,3.1,3.3,75.5
,79.8923,7.13346,6.4,3.1,3.3,76.1
The Stables Oceanfront Hotel,80.3955,5.96257,6.4,3.1,3.3,94.4
,79.89213,7.13343,6.4,3.1,3.3,76.1
,79.91495,6.97611,6.4,3.1,3.3,67.2
,80.34204,6.70367,6.4,3.1,3.3,21.0
,79.89763,6.87434,6.4,3.1,3.3,66.9
,79.89762,6.87423,6.4,3.1,3.3,66.9
,80.32159,7.47231,5.0,1.7,3.3,75.9
Kamila_food house,79.92165,7.02908,10.0,6.7,3.3,68.3
Fresh fish,79.92164,7.02913,10.0,6.7,3.3,68.3
food center,79.92164,7.02917,10.0,6.7,3.3,68.3
,79.93407,6.8807,12.8,9.5,3.3,63.0
Rawahiya Arabic Collage,80.55712,7.29651,12.8,9.5,3.3,54.2
Ambalangoda Fishery Harbour Building 1,80.05202,6.23428,6.0,2.8,3.2,80.6
,79.96686,7.06433,6.4,3.2,3.2,65.3
,79.98741,7.07978,6.4,3.2,3.2,64.0
,79.96103,7.06763,6.4,3.2,3.2,66.0
,79.96619,7.09394,6.4,3.2,3.2,66.8
,79.99432,7.06238,6.4,3.2,3.2,62.4
,80.0066,7.09654,6.4,3.2,3.2,63.0
,80.00669,7.09665,6.4,3.2,3.2,63.0
,79.9546,7.08084,6.4,3.2,3.2,67.3
,79.93915,7.07646,6.4,3.2,3.2,68.6
,80.00889,7.09207,6.4,3.2,3.2,62.6
,79.98759,7.04986,6.4,3.2,3.2,62.5
,79.98837,7.0502,6.4,3.2,3.2,62.4
,80.03232,7.07596,6.4,3.2,3.2,59.4
,80.04005,7.09299,6.4,3.2,3.2,59.7
,79.97191,7.03053,6.4,3.2,3.2,63.2
,80.01331,7.08585,6.4,3.2,3.2,61.8
,80.00954,7.0895,6.4,3.2,3.2,62.4
,79.99981,7.07237,6.4,3.2,3.2,62.4
,79.94275,7.0967,6.4,3.2,3.2,69.2
,80.00086,7.08686,6.4,3.2,3.2,63.1
Survey Department,80.01187,7.08412,6.4,3.2,3.2,61.9
,80.03398,7.08599,6.4,3.2,3.2,59.8
Singer,80.03388,7.08612,6.4,3.2,3.2,59.9
,80.01424,7.08668,6.4,3.2,3.2,61.8
,80.03594,7.07397,9.6,6.4,3.2,59.0
,80.02783,7.08084,9.6,6.4,3.2,60.1
,79.93317,7.08984,6.4,3.2,3.2,69.8
,79.96821,7.05641,6.4,3.2,3.2,64.7
,79.98236,7.03565,6.4,3.2,3.2,62.4
,79.91376,7.07226,6.4,3.2,3.2,70.9
,79.96528,7.03719,6.4,3.2,3.2,64.2
,79.97919,7.03343,9.6,6.4,3.2,62.6
,79.97779,7.03219,6.4,3.2,3.2,62.7
,80.00566,7.09492,6.4,3.2,3.2,63.0
,79.92694,7.10261,6.4,3.2,3.2,71.1
,80.0326,7.08253,6.4,3.2,3.2,59.8
,79.99171,7.03093,6.4,3.2,3.2,61.2
,79.92815,7.06528,6.4,3.2,3.2,69.2
,80.03976,7.09468,6.4,3.2,3.2,59.8
,80.04415,7.09656,6.4,3.2,3.2,59.5
,79.96582,7.06296,6.4,3.2,3.2,65.3
,80.01484,7.10159,6.4,3.2,3.2,62.5
,80.02064,7.09272,6.4,3.2,3.2,61.5
,80.00742,7.08931,6.4,3.2,3.2,62.6
,80.04076,7.07491,6.4,3.2,3.2,58.6
,79.96091,7.06749,6.4,3.2,3.2,66.0
,79.96848,7.03526,6.4,3.2,3.2,63.8
,80.01335,7.09199,6.4,3.2,3.2,62.1
,80.01337,7.09209,6.4,3.2,3.2,62.1
,80.01338,7.09757,6.4,3.2,3.2,62.5
,80.0169,7.09068,6.4,3.2,3.2,61.7
,79.98103,7.05224,6.4,3.2,3.2,63.3
,79.91232,7.07213,6.4,3.2,3.2,71.1
,79.91678,7.10156,6.4,3.2,3.2,72.0
,79.8944,7.08368,6.4,3.2,3.2,73.4
,79.92081,7.11941,6.4,3.2,3.2,72.5
,79.96204,7.03814,6.4,3.2,3.2,64.5
,79.96209,7.03824,6.4,3.2,3.2,64.5
Divi Neguma Office,79.91748,7.1197,6.4,3.2,3.2,72.9
,79.89794,6.87432,6.4,3.2,3.2,66.9
,79.89795,6.87418,6.4,3.2,3.2,66.9
,79.8978,6.8742,6.4,3.2,3.2,66.9
,80.33294,5.98614,6.4,3.2,3.2,92.9
,80.21685,6.73015,6.4,3.2,3.2,32.4
,80.29051,6.70921,6.4,3.2,3.2,25.6
,80.0535,7.11948,6.4,3.3,3.1,60.0
,79.9661,7.06381,6.4,3.3,3.1,65.3
,79.97773,7.04781,6.4,3.3,3.1,63.4
,79.95917,7.09203,6.4,3.3,3.1,67.4
,80.03769,7.08028,6.4,3.3,3.1,59.2
,79.9559,7.07618,6.4,3.3,3.1,66.9
,79.98408,7.06745,6.4,3.3,3.1,63.7
,79.95246,7.06869,6.4,3.3,3.1,66.9
,80.03281,7.08249,6.4,3.3,3.1,59.8
,79.99356,7.09508,6.4,3.3,3.1,64.2
,79.92914,7.10515,6.4,3.3,3.1,71.0
,80.0195,7.0535,6.4,3.3,3.1,59.5
,80.00462,7.06285,6.4,3.3,3.1,61.4
,80.01207,7.08864,6.4,3.3,3.1,62.1
,79.99958,7.06567,6.4,3.3,3.1,62.1
,79.98835,7.09062,6.4,3.3,3.1,64.5
,79.9884,7.09019,6.4,3.3,3.1,64.4
,80.01377,7.09189,6.4,3.3,3.1,62.1
,80.04982,7.11069,6.4,3.3,3.1,59.8
,79.99911,7.0604,6.4,3.3,3.1,61.9
,79.97583,7.05515,6.4,3.3,3.1,63.9
,80.03141,7.08902,6.4,3.3,3.1,60.3
,79.99268,7.05141,6.4,3.3,3.1,62.1
,80.026,7.08599,6.4,3.3,3.1,60.6
,80.02328,7.0859,6.4,3.3,3.1,60.9
,79.91783,7.15188,6.4,3.3,3.1,74.6
,80.03588,7.07417,6.4,3.3,3.1,59.0
,80.02208,7.07758,6.4,3.3,3.1,60.5
,79.93269,7.0899,6.4,3.3,3.1,69.9
,80.01462,7.06284,6.4,3.3,3.1,60.5
,79.97019,7.05267,6.4,3.3,3.1,64.4
,79.97037,7.05253,6.4,3.3,3.1,64.4
,79.98385,7.04574,6.4,3.3,3.1,62.7
,79.91342,7.07205,6.4,3.3,3.1,71.0
,79.97636,7.04183,6.4,3.3,3.1,63.3
,79.96643,7.03773,6.4,3.3,3.1,64.1
,79.98679,7.03737,6.4,3.3,3.1,62.0
,79.98712,7.04075,6.4,3.3,3.1,62.1
,79.97777,7.06312,6.4,3.3,3.1,64.1
,79.91682,7.09013,6.4,3.3,3.1,71.5
,79.948,7.07955,6.4,3.3,3.1,67.9
,79.94023,7.06563,6.4,3.3,3.1,68.0
,80.0126,7.05593,6.4,3.3,3.1,60.3
,80.01863,7.09835,6.4,3.3,3.1,62.0
,79.99693,7.09008,6.4,3.3,3.1,63.6
,79.9968,7.09017,6.4,3.3,3.1,63.6
Srilanka Sekai Kiuses Foundation Office,79.9967,7.09003,6.4,3.3,3.1,63.6
,80.01945,7.09619,6.4,3.3,3.1,61.8
,80.00478,7.06303,6.4,3.3,3.1,61.4
Happy Bright Hotel,79.95897,7.09193,6.4,3.3,3.1,67.4
,80.02719,7.09429,6.4,3.3,3.1,61.0
,79.95852,7.06556,6.4,3.3,3.1,66.1
,79.94556,7.06734,6.4,3.3,3.1,67.5
,79.98421,7.08929,6.4,3.3,3.1,64.8
,80.03578,7.07979,6.4,3.3,3.1,59.3
,80.04182,7.0994,6.4,3.3,3.1,59.9
,80.02197,7.07754,6.4,3.3,3.1,60.5
Purnodhaya ngo,79.88854,7.07923,6.4,3.3,3.1,73.8
,79.88887,7.08294,6.4,3.3,3.1,73.9
,79.89396,7.06374,6.4,3.3,3.1,72.6
,79.89771,7.06579,6.4,3.3,3.1,72.3
,79.9211,7.12175,6.4,3.3,3.1,72.6
,80.04889,7.11214,6.4,3.3,3.1,60.0
,80.21632,6.03031,6.4,3.3,3.1,91.7
Kularatne Building,79.87519,6.924,6.4,3.3,3.1,70.1
,79.92366,6.89281,5.0,1.9,3.1,64.3
,80.09078,6.84078,6.0,2.9,3.1,45.3
,80.0889,6.83742,5.0,1.9,3.1,45.5
Old Dutch Hospital,79.84354,6.9335,6.0,2.9,3.1,73.8
,79.9613,7.06156,6.4,3.4,3.0,65.7
,79.97177,7.05743,6.4,3.4,3.0,64.4
,79.98583,7.08211,6.4,3.4,3.0,64.3
,79.95171,7.07766,6.4,3.4,3.0,67.4
,79.9641,7.07491,6.4,3.4,3.0,66.0
,80.03656,7.09228,9.6,6.6,3.0,60.0
,80.00267,7.07006,6.4,3.4,3.0,62.0
,80.0188,7.05399,6.4,3.4,3.0,59.6
,80.01429,7.06118,6.4,3.4,3.0,60.4
,79.99635,7.07661,6.4,3.4,3.0,63.0
,80.00775,7.08755,6.4,3.4,3.0,62.4
,79.99782,7.07028,6.4,3.4,3.0,62.5
,79.97848,7.09355,6.4,3.4,3.0,65.6
,80.04732,7.10925,9.6,6.6,3.0,60.0
,79.90691,7.16161,6.4,3.4,3.0,76.2
,79.90691,7.16149,6.4,3.4,3.0,76.2
,80.05175,7.09582,6.4,3.4,3.0,58.7
,79.99832,7.05656,6.4,3.4,3.0,61.8
,79.88996,7.07441,6.4,3.4,3.0,73.4
,79.91995,7.0683,6.4,3.4,3.0,70.1
,79.91472,7.07422,6.4,3.4,3.0,70.9
,80.01402,7.08608,6.4,3.4,3.0,61.8
,80.01384,7.0861,6.4,3.4,3.0,61.8
,80.01517,7.07288,9.6,6.6,3.0,60.9
,79.91656,7.08994,6.4,3.4,3.0,71.5
,79.97368,7.05466,6.4,3.4,3.0,64.1
,79.98367,7.04414,6.4,3.4,3.0,62.6
,79.9806,7.03686,6.4,3.4,3.0,62.6
,79.92504,7.09133,6.4,3.4,3.0,70.7
,79.95658,7.06293,6.4,3.4,3.0,66.2
,79.98921,7.05444,6.4,3.4,3.0,62.6
Sanasa Bank,79.9385,7.06333,6.4,3.4,3.0,68.1
,80.00869,7.09229,6.4,3.4,3.0,62.6
,79.93277,7.1026,6.4,3.4,3.0,70.5
,80.01113,7.05797,6.4,3.4,3.0,60.6
,80.0472,7.1092,9.6,6.6,3.0,60.0
,80.04213,7.09828,6.4,3.4,3.0,59.8
Otel Chalets,80.00849,7.06608,6.4,3.4,3.0,61.2
,79.94891,7.10005,6.4,3.4,3.0,68.8
,79.88641,7.09998,6.4,3.4,3.0,75.0
,79.89513,7.07864,9.6,6.6,3.0,73.1
,79.89603,7.07787,6.4,3.4,3.0,73.0
,79.90658,7.11947,6.4,3.4,3.0,73.9
,79.93108,7.08735,6.4,3.4,3.0,69.9
,79.91249,7.0836,6.4,3.4,3.0,71.6
,79.90985,7.0781,6.4,3.4,3.0,71.6
,79.89753,7.08299,6.4,3.4,3.0,73.1
,79.92123,7.12172,6.4,3.4,3.0,72.6
,80.0419,7.10696,6.4,3.4,3.0,60.3
,80.04873,7.11277,6.4,3.4,3.0,60.0
Wayamba Technical college,80.32139,7.47198,5.0,2.0,3.0,75.9
,80.09353,6.84521,5.0,2.0,3.0,45.0
Co-operative Building,80.0157,7.07305,6.4,3.5,2.9,60.9
,79.96609,7.06304,6.4,3.5,2.9,65.3
,79.96522,7.0819,6.4,3.5,2.9,66.3
,79.92115,7.02731,5.0,2.1,2.9,68.3
,80.00535,7.09051,6.4,3.5,2.9,62.8
,80.00533,7.09036,6.4,3.5,2.9,62.8
,79.95754,7.07657,6.4,3.5,2.9,66.8
,80.03901,7.08007,6.4,3.5,2.9,59.0
Wilson Hardware,79.93349,7.10381,6.4,3.5,2.9,70.5
Pre school,80.0348,7.08378,6.4,3.5,2.9,59.6
Uththano Kithu Samindunge Dewmedura,80.03494,7.084,6.4,3.5,2.9,59.6
,79.98601,7.04627,6.4,3.5,2.9,62.5
,80.0417,7.09844,6.4,3.5,2.9,59.8
,80.00433,7.05418,6.4,3.5,2.9,61.0
,79.93678,7.10423,6.4,3.5,2.9,70.2
,80.00285,7.06673,6.4,3.5,2.9,61.8
,80.0075,7.06571,6.4,3.5,2.9,61.3
,80.00879,7.08699,6.4,3.5,2.9,62.3
,80.00695,7.08957,6.4,3.5,2.9,62.6
,80.00347,7.07391,6.4,3.5,2.9,62.1
,79.98283,7.07872,6.4,3.5,2.9,64.4
,80.0113,7.07902,6.4,3.5,2.9,61.6
,80.01566,7.09011,6.4,3.5,2.9,61.8
,80.01806,7.07519,6.4,3.5,2.9,60.8
,79.9948,7.05242,6.4,3.5,2.9,61.9
,80.03159,7.08711,6.4,3.5,2.9,60.1
,79.99266,7.05091,6.4,3.5,2.9,62.0
,80.02827,7.08811,6.4,3.5,2.9,60.5
,80.02833,7.08826,6.4,3.5,2.9,60.5
,80.02149,7.08513,6.4,3.5,2.9,61.0
,80.03901,7.07426,6.4,3.5,2.9,58.7
,80.02687,7.08079,6.4,3.5,2.9,60.2
,79.9219,7.09005,6.4,3.5,2.9,71.0
,80.04825,7.09394,6.4,3.5,2.9,59.0
,79.96268,7.04665,6.4,3.5,2.9,64.9
,79.91175,7.07117,6.4,3.5,2.9,71.1
,79.91192,7.07123,6.4,3.5,2.9,71.1
,79.97419,7.02724,6.4,3.5,2.9,62.8
,79.96701,7.04146,6.4,3.5,2.9,64.2
,79.96278,7.04578,6.4,3.5,2.9,64.8
,79.96551,7.03621,6.4,3.5,2.9,64.1
,79.98935,7.03788,6.4,3.5,2.9,61.8
,79.96375,7.03554,6.4,3.5,2.9,64.3
,79.98149,7.03367,6.4,3.5,2.9,62.4
,79.99115,7.05322,6.4,3.5,2.9,62.3
,80.03149,7.0872,6.4,3.5,2.9,60.1
,79.96959,7.07982,6.4,3.5,2.9,65.7
,79.98787,7.08052,6.4,3.5,2.9,64.0
,79.93906,7.10094,6.4,3.5,2.9,69.8
,80.00864,7.08707,6.4,3.5,2.9,62.3
,79.96375,7.06639,6.4,3.5,2.9,65.7
,80.01772,7.09782,6.4,3.5,2.9,62.1
,79.98587,7.07805,6.4,3.5,2.9,64.1
,80.02381,7.09416,6.4,3.5,2.9,61.3
,80.00683,7.08962,6.4,3.5,2.9,62.6
,80.03269,7.07617,6.4,3.5,2.9,59.4
,80.03258,7.07613,6.4,3.5,2.9,59.4
,79.94086,7.06496,6.4,3.5,2.9,67.9
,79.9547,7.08056,6.4,3.5,2.9,67.2
,80.02194,7.07762,6.4,3.5,2.9,60.5
,79.97599,7.06842,6.4,3.5,2.9,64.5
Purnodhaya pre school,79.88878,7.07957,6.4,3.5,2.9,73.8
,80.02763,7.08458,6.4,3.5,2.9,60.4
,80.05454,7.09216,6.4,3.5,2.9,58.3
,80.02508,7.09242,6.4,3.5,2.9,61.0
,79.91454,7.07371,6.4,3.5,2.9,70.9
,79.89862,7.08628,6.4,3.5,2.9,73.1
,79.89752,7.06522,6.4,3.5,2.9,72.3
,79.89303,7.05992,6.4,3.5,2.9,72.5
,79.96261,7.06292,6.4,3.5,2.9,65.6
,79.96264,7.06299,6.4,3.5,2.9,65.6
,79.89262,7.13223,6.4,3.5,2.9,76.0
,79.98467,6.73724,8.0,5.1,2.9,57.5
,79.93401,6.87952,6.4,3.5,2.9,63.0
,80.00717,7.06598,6.4,3.6,2.8,61.4
,79.95126,7.06411,6.4,3.6,2.8,66.8
,79.9657,7.06283,6.4,3.6,2.8,65.3
,79.97643,7.07353,6.4,3.6,2.8,64.8
,80.01208,7.05665,6.4,3.6,2.8,60.4
,80.00789,7.09739,6.4,3.6,2.8,63.0
,79.95278,7.07981,6.4,3.6,2.8,67.4
,80.03677,7.0797,6.4,3.6,2.8,59.2
,80.038,7.0796,6.4,3.6,2.8,59.1
,80.00666,7.05825,6.4,3.6,2.8,61.0
,79.95164,7.0708,6.4,3.6,2.8,67.1
,79.9939,7.09463,6.4,3.6,2.8,64.2
,79.99372,7.09489,6.4,3.6,2.8,64.2
,80.04003,7.08978,6.4,3.6,2.8,59.5
,80.00274,7.07235,6.4,3.6,2.8,62.1
,80.01063,7.08525,6.4,3.6,2.8,62.0
,80.00553,7.08894,6.4,3.6,2.8,62.7
,80.00716,7.08754,9.6,6.8,2.8,62.5
,80.00754,7.08793,6.4,3.6,2.8,62.5
,79.99772,7.08533,6.4,3.6,2.8,63.3
,79.99772,7.08517,6.4,3.6,2.8,63.3
,80.04157,7.10317,9.6,6.8,2.8,60.1
,79.99108,7.05508,6.4,3.6,2.8,62.4
,80.02869,7.09127,6.4,3.6,2.8,60.6
,79.97564,7.05476,6.4,3.6,2.8,63.9
,80.03506,7.0893,6.4,3.6,2.8,59.9
,80.02671,7.08602,6.4,3.6,2.8,60.5
,80.02898,7.08143,6.4,3.6,2.8,60.1
,80.02148,7.07757,6.4,3.6,2.8,60.6
,79.93677,7.08991,6.4,3.6,2.8,69.5
,80.01899,7.06382,6.4,3.6,2.8,60.1
,79.92599,7.08562,6.4,3.6,2.8,70.3
,79.92414,7.08833,9.6,6.8,2.8,70.7
,80.02418,7.0732,6.4,3.6,2.8,60.1
,79.98464,7.04412,6.4,3.6,2.8,62.5
,79.96848,7.05671,9.6,6.8,2.8,64.7
,79.91302,7.07242,6.4,3.6,2.8,71.0
,79.97903,7.03764,6.4,3.6,2.8,62.8
,79.92921,7.09196,6.4,3.6,2.8,70.3
,79.97369,7.0347,6.4,3.6,2.8,63.2
,79.99148,7.03515,6.4,3.6,2.8,61.4
,79.99369,7.09465,6.4,3.6,2.8,64.2
,79.98387,7.06587,6.4,3.6,2.8,63.6
,79.961,7.07559,6.4,3.6,2.8,66.4
,79.9955,7.03273,6.4,3.6,2.8,60.9
,79.99428,7.03128,6.4,3.6,2.8,61.0
,80.01728,7.09461,6.4,3.6,2.8,61.9
,79.99579,7.06152,6.4,3.6,2.8,62.2
,80.05795,7.10736,6.4,3.6,2.8,58.9
,80.0073,7.08968,6.4,3.6,2.8,62.6
,80.00572,7.05341,6.4,3.6,2.8,60.9
,80.02806,7.07849,6.4,3.6,2.8,60.0
,80.03994,7.07721,6.4,3.6,2.8,58.8
Ranawiru Apparels,80.03705,7.07827,6.4,3.6,2.8,59.1
,80.0323,7.07818,6.4,3.6,2.8,59.6
,80.01913,7.06374,6.4,3.6,2.8,60.1
,79.98751,7.04962,6.4,3.6,2.8,62.5
,79.97353,7.02737,6.4,3.6,2.8,62.9
,79.97722,7.03347,6.4,3.6,2.8,62.8
,79.97614,7.09334,6.4,3.6,2.8,65.8
,80.02421,7.08486,6.4,3.6,2.8,60.7
