name,place,lon,lat,distance_km,bearing_to_summit_deg,required_height_m,visibility,angular_height_deg,sunrise_align_1,sunrise_align_2
Wellawatte,suburb,79.86035,6.87705,71.0,96.1,-0.4,ground level,1.478,05 Mar,08 Oct
Kerawalapitiya,village,79.88599,6.99867,71.0,107.2,-1.3,ground level,1.484,01 Feb,09 Nov
Nakalagamuwa,village,80.22395,7.39098,71.1,154.7,85.6,<=100 m (33 storeys),,,
Town Hall,suburb,79.86481,6.9173,71.1,99.7,1.0,ground level,1.479,24 Feb,17 Oct
Mahawatte,suburb,79.87412,6.96014,71.1,103.6,-1.0,ground level,1.481,13 Feb,28 Oct
Meda ela,village,80.55903,7.44962,71.1,185.3,159.4,never,,,
Mattakkuliya,suburb,79.87658,6.97322,71.2,104.8,-0.0,ground level,1.476,09 Feb,01 Nov
Milagiriya,suburb,79.85967,6.88687,71.2,97.0,-1.2,ground level,1.473,03 Mar,10 Oct
Ethiliwewa,village,81.11352,6.61518,71.2,287.6,1370.3,never,,,
Thenna,village,80.59994,7.44528,71.2,189.0,355.7,never,,,
Kurundugahahetekma,village,80.14001,6.27533,71.2,34.0,22.7,<=30 m (10 storeys),,,
Gallpottayaya,village,80.76437,6.2212,71.3,335.8,253.5,never,,,
Okandeniya,village,80.79007,6.23433,71.3,333.2,262.4,never,,,
Katudeniya,village,80.64145,7.43818,71.3,192.7,213.6,never,,,
NewBazzar,suburb,79.86714,6.94127,71.4,101.9,-1.1,ground level,1.473,18 Feb,23 Oct
Maradana,suburb,79.864,6.92647,71.4,100.5,-0.3,ground level,1.469,21 Feb,20 Oct
Panchikawatte,suburb,79.86461,6.93126,71.4,100.9,-3.9,ground level,1.464,20 Feb,21 Oct
Maharagama,village,80.13166,7.33993,71.4,145.4,1.8,<=10 m (3 storeys),,,
Muthumala,village,81.11357,7.00921,71.4,252.0,838.0,never,,,
Hekitta,village,79.87638,6.98392,71.5,105.7,-0.2,ground level,1.467,06 Feb,04 Nov
Kandana,town,79.8982,7.0495,71.5,111.8,-3.9,ground level,1.46,12 Jan,29 Nov
Bloemendhal,suburb,79.86765,6.9494,71.5,102.6,-0.7,ground level,1.47,16 Feb,25 Oct
Kandakepulpotha,village,81.0204,7.19316,71.5,233.6,2492.9,never,,,
Bibilegama,village,81.14086,6.89708,71.5,262.2,1542.1,never,,,
Maussagolla,village,81.13861,6.91242,71.6,260.8,1031.6,never,,,
Aittaliyadda,village,80.61343,7.44652,71.6,190.2,197.6,never,,,
Dambokka,village,80.33813,7.43789,71.7,165.7,31.6,<=60 m (20 storeys),,,
Kahaduwa,village,80.21631,6.22633,71.7,26.0,54.0,<=60 m (20 storeys),,,
Modera,suburb,79.86995,6.96719,71.7,104.1,2.2,<=10 m (3 storeys),,11 Feb,30 Oct
Puskoladeniya,village,80.13407,7.34557,71.7,145.8,11.3,<=30 m (10 storeys),,,
Mirissala,village,80.55619,7.45558,71.7,185.0,276.2,never,,,
Handapanagala,village,81.13091,6.65686,71.8,283.6,1704.7,never,,,
Elwala,village,80.63063,7.4457,71.8,191.7,155.1,never,,,
Aluthkade,suburb,79.86254,6.93824,71.8,101.5,-2.1,ground level,1.451,19 Feb,22 Oct
Suduwella,suburb,79.86034,6.92713,71.8,100.5,2.6,<=10 m (3 storeys),,21 Feb,20 Oct
Pilessa,village,80.41794,7.45396,71.8,172.8,92.6,<=100 m (33 storeys),,,
Udagama,village,81.13273,6.95529,71.8,257.0,903.0,never,,,
Bambalapitiya,suburb,79.85503,6.89539,71.9,97.7,0.2,ground level,1.457,01 Mar,12 Oct
Loggal Oya,village,81.01318,7.20982,72.0,232.0,2518.9,never,,,
Arampola,village,80.45042,7.45849,72.0,175.7,508.5,never,,,
Kahataruppa,village,81.11423,7.02609,72.0,250.6,1204.7,never,,,
Aluthmawatha,suburb,79.86569,6.96173,72.0,103.6,-3.3,ground level,1.436,13 Feb,28 Oct
Masangasweediya,suburb,79.86184,6.94115,72.0,101.7,-3.0,ground level,1.449,18 Feb,23 Oct
Karametiya,village,81.02531,7.19465,72.0,233.8,2617.5,never,,,
Nagoda,suburb,80.275,6.19807,72.0,20.2,64.4,<=100 m (33 storeys),,,
Owilikanda,village,80.58131,7.45548,72.0,187.2,82.6,<=100 m (33 storeys),,,
Puhulwaththa,village,81.14059,6.9227,72.0,260.0,1082.7,never,,,
Ethpitiya,village,80.68349,6.18434,72.1,343.6,830.6,never,,,
Uswatte,village,79.89112,7.04623,72.1,111.4,-0.6,ground level,1.45,15 Jan,26 Nov
Bowala,village,80.71387,6.1936,72.1,340.8,953.3,never,,,
Kehelwatte,suburb,79.85911,6.93374,72.1,101.1,-2.2,ground level,1.444,20 Feb,21 Oct
Bolanda,village,79.92224,7.11431,72.1,117.9,-0.6,ground level,1.448,,
Ketawaththa,village,81.08536,7.09702,72.1,243.8,1636.4,never,,,
Kotuwegedara,village,80.62092,7.44984,72.1,190.8,231.1,never,,,
Padiwita,village,80.60673,7.45298,72.1,189.5,297.3,never,,,
Paalaawaththa,village,81.10635,7.04883,72.1,248.5,1378.0,never,,,
Okandeniya,village,80.78225,6.22143,72.2,334.3,238.9,never,,,
Horewela,village,80.66993,6.17878,72.2,344.9,783.6,never,,,
Gintupitiya,suburb,79.86045,6.9432,72.2,101.9,0.4,ground level,1.443,18 Feb,23 Oct
Hunupitiya,suburb,79.85589,6.92388,72.2,100.2,-2.2,ground level,1.448,22 Feb,19 Oct
Kotahena,suburb,79.85982,6.94802,72.3,102.3,5.1,<=10 m (3 storeys),,16 Feb,25 Oct
Kumaragama,village,81.02393,6.41828,72.3,306.7,0.5,ground level,1.375,,
Kotugoda,town,79.92478,7.12349,72.4,118.7,31.7,<=60 m (20 storeys),,,
Induruwa,town,80.01056,6.37397,72.4,48.4,1.1,ground level,1.444,,
Mulatiyana,town,80.58446,6.16051,72.4,352.6,464.7,never,,,
Thalagune,village,80.88354,7.34028,72.4,215.9,1271.3,never,,,
Kirimetiyawa,village,80.5927,7.45779,72.4,188.2,246.8,never,,,
St. Bastian,village,79.85891,6.94452,72.4,102.0,3.4,<=10 m (3 storeys),,17 Feb,24 Oct
Lunupokuna,suburb,79.85918,6.95495,72.6,102.9,9.0,<=10 m (3 storeys),,15 Feb,26 Oct
Kollupitiya,suburb,79.85081,6.91353,72.6,99.2,0.8,ground level,1.438,25 Feb,16 Oct
Kotugoda,village,79.92139,7.12149,72.6,118.4,4.3,<=10 m (3 storeys),,,
Kumbiyangoda,village,80.61422,7.4555,72.6,190.1,172.9,never,,,
Colombo,city,79.8542,6.93886,72.7,101.4,-0.2,ground level,1.433,19 Feb,22 Oct
Ekala,town,79.91027,7.10132,72.7,116.4,-1.3,ground level,1.437,,
Kochchikade,suburb,79.85497,6.94328,72.7,101.8,4.7,<=10 m (3 storeys),,18 Feb,23 Oct
Themmitiyawa,village,80.90949,7.3231,72.7,218.6,1306.1,never,,,
Minuwangoda,town,79.94846,7.16927,72.7,123.2,-0.8,ground level,1.43,,
Miyanakandura,village,81.15429,6.86741,72.7,264.9,1729.4,never,,,
Gonagala,village,81.14478,6.93522,72.7,259.0,1194.9,never,,,
Beragama,village,80.55098,6.15286,72.8,355.5,547.1,never,,,
Udalamaththa,village,80.29782,6.18296,72.8,17.9,83.6,<=100 m (33 storeys),,,
Metiyagane,village,80.18085,7.38694,72.9,151.2,1.2,ground level,1.39,,
Dambadeniya,town,80.14943,7.36819,72.9,148.0,1.9,<=10 m (3 storeys),,,
Slave Island,village,79.85027,6.92466,72.9,100.1,1.4,ground level,1.43,22 Feb,19 Oct
Pathinigolla,village,80.56995,7.46594,73.0,186.2,1.2,ground level,0.89,,
Muthugala,village,80.15699,7.3756,73.1,148.9,-2.7,ground level,1.373,,
Marandagahamula,suburb,79.98859,7.229,73.1,129.5,-0.6,ground level,1.406,,
Sooriya Ara,village,81.03989,6.42881,73.1,305.2,-0.3,ground level,1.359,,
Agarathenna,village,81.14285,6.96452,73.1,256.4,1002.0,never,,,
Hingurukaduwa,village,81.16199,6.81499,73.2,269.5,2353.3,never,,,
Muruthawela,village,80.74012,6.1914,73.3,338.7,637.9,never,,,
Kompannaweediya,suburb,79.8468,6.92584,73.3,100.2,3.2,<=10 m (3 storeys),,22 Feb,19 Oct
Doratiyawa,village,80.37323,7.45989,73.3,169.1,89.1,<=100 m (33 storeys),,,
Boyagane,village,80.34583,7.45515,73.4,166.7,0.1,ground level,1.317,,
Paramulla,village,80.62303,6.15747,73.4,349.3,746.2,never,,,
Hathporuwa,village,80.94459,6.31671,73.4,317.9,25.5,<=30 m (10 storeys),,,
Hunumulla,village,79.99817,7.24482,73.4,131.1,7.3,<=10 m (3 storeys),,,
Maligatenna,village,80.61242,7.46309,73.4,189.8,276.2,never,,,
Deiyandara,town,80.60384,6.15298,73.5,351.0,672.7,never,,,
Mahamadawala,village,80.63402,6.15881,73.5,348.3,831.6,never,,,
Thammita,village,80.00583,7.25499,73.5,132.2,-1.2,ground level,1.393,,
Watagoda,village,80.59815,7.46694,73.5,188.6,91.3,<=100 m (33 storeys),,,
Makulemada,village,80.58412,7.4689,73.5,187.3,143.4,<=150 m (50 storeys),,,
Ja-ela,town,79.89076,7.07938,73.6,114.0,11.4,<=30 m (10 storeys),,,
Meegasara,village,80.76882,6.20071,73.6,336.1,297.0,never,,,
Kosgoda,town,80.0289,6.33859,73.6,45.0,1.9,<=10 m (3 storeys),,,
Welgolla,village,81.14187,6.98486,73.6,254.7,977.2,never,,,
Industrial Zone,village,79.89951,7.10071,73.7,116.0,-1.0,ground level,1.404,,
Kitulalla,village,80.54458,6.14411,73.7,356.1,417.4,never,,,
Fort,suburb,79.84482,6.93435,73.7,100.9,-2.1,ground level,1.406,20 Feb,21 Oct
Kelebokka,village,80.71763,7.43884,73.7,199.1,418.7,never,,,
Pallegama,village,81.15207,6.94621,73.7,258.2,1078.4,never,,,
Nagollegedara,village,80.33151,7.45499,73.8,165.5,1.7,<=10 m (3 storeys),,,
Dampelessa,village,80.21055,7.41285,74.0,154.5,25.0,<=30 m (10 storeys),,,
Passara,town,81.15699,6.9354,74.0,259.1,1231.0,never,,,
Weherebedda,village,80.36759,7.46527,74.0,168.7,137.9,<=150 m (50 storeys),,,
Bandarapola,village,80.6483,7.46146,74.0,192.9,184.0,never,,,
Kandenuwara,village,80.68235,7.45399,74.1,195.8,122.6,<=150 m (50 storeys),,,
Meeriyabedda,village,81.16201,6.91758,74.2,260.7,1269.9,never,,,
Wanduragala,village,80.34691,7.46397,74.3,166.9,18.0,<=30 m (10 storeys),,,
Rathgala,village,80.3314,7.45975,74.3,165.6,34.4,<=60 m (20 storeys),,,
Makandura,town,80.55712,6.14023,74.3,355.1,544.1,never,,,
Thelulla,village,81.13943,6.60091,74.4,288.0,1501.8,never,,,
Mallawapitiya,village,80.39038,7.4738,74.4,170.7,272.7,never,,,
Wilbawa,village,80.3605,7.46798,74.4,168.1,30.5,<=60 m (20 storeys),,,
Croose Watta,village,79.89923,7.11441,74.4,117.0,-2.7,ground level,1.386,,
Madugasthalawa,village,81.14556,6.99836,74.4,253.7,1239.1,never,,,
Matale,city,80.62343,7.47205,74.5,190.6,203.4,never,,,
Dunagaha,village,79.97363,7.23128,74.5,128.8,5.2,<=10 m (3 storeys),,,
Kohanawala,village,81.13197,7.04337,74.5,249.7,1748.3,never,,,
Kandegedara,village,80.60932,7.47372,74.5,189.4,118.3,<=150 m (50 storeys),,,
Dambewela,village,81.16642,6.90571,74.5,261.8,1634.7,never,,,
Mallawagedara,village,80.02611,7.29085,74.6,135.6,-0.9,ground level,1.362,,
Kalugahakandura,village,81.09735,7.12195,74.6,242.4,1779.4,never,,,
Henamulla,village,80.36553,7.47169,74.7,168.6,96.8,<=100 m (33 storeys),,,
Karandeniya,town,80.09119,6.27068,74.8,37.2,-1.6,ground level,1.381,,
Kelegedara,village,80.13171,7.37725,74.8,147.2,-0.7,ground level,1.331,,
Uyandana,village,80.40291,7.47928,74.8,171.8,377.4,never,,,
Palliyapitiya,village,79.98399,7.24775,74.8,130.5,2.6,<=10 m (3 storeys),,,
Nugape,village,79.86574,7.04916,74.9,110.8,-1.2,ground level,1.38,18 Jan,23 Nov
Akaragama,village,80.34815,7.46966,74.9,167.2,52.3,<=60 m (20 storeys),,,
Kotugoda,village,79.90139,7.13074,75.0,118.3,-1.4,ground level,1.363,,
Ahungalla,town,80.03512,6.31379,75.1,43.2,-0.3,ground level,1.373,,
Thalahagama,village,80.52472,6.13079,75.1,357.9,458.9,never,,,
Dewalagama,village,80.63846,6.14472,75.1,348.2,790.4,never,,,
Wehera,village,80.35256,7.47257,75.1,167.6,100.3,<=150 m (50 storeys),,,
Dambagolla,village,81.01333,7.25465,75.1,229.1,2240.6,never,,,
Ranugalla,village,81.17694,6.85943,75.1,265.8,2270.8,never,,,
Kumbalpola,village,80.33258,7.46827,75.2,165.8,-7.5,ground level,1.268,,
Delwagura,village,79.99397,7.2652,75.2,132.1,2.4,<=10 m (3 storeys),,,
Migaswewa,village,81.07711,6.45007,75.2,301.9,-2.2,ground level,1.296,,
Thennuge,village,81.16738,6.93953,75.2,259.0,1223.3,never,,,
Alawathupitiya,village,79.8883,7.11082,75.3,116.3,-0.9,ground level,1.367,,
Ranchagoda,village,80.5497,6.129,75.4,355.8,506.9,never,,,
Gongawela,village,80.62939,7.47852,75.4,191.0,129.5,<=150 m (50 storeys),,,
Harasgama,village,80.6187,7.481,75.4,190.1,65.8,<=100 m (33 storeys),,,
Ambathenna,village,81.17147,6.92559,75.4,260.2,1416.2,never,,,
Yatalamatta,village,80.2799,6.16319,75.5,18.8,21.8,<=30 m (10 storeys),,,
Walasmulla,town,80.69796,6.15585,75.5,343.1,816.8,never,,,
Radawela,village,80.61629,6.13646,75.5,350.2,722.5,never,,,
Howpe,village,80.50022,6.12709,75.5,360.0,179.4,never,,,
Pallekannda,village,80.66434,6.14694,75.5,346.0,635.2,never,,,
Arawa,village,81.08429,7.16231,75.5,238.9,2140.9,never,,,
Kehelella,village,79.98555,7.25907,75.5,131.3,-0.9,ground level,1.342,,
Narammala,town,80.21438,7.43073,75.6,155.4,1.0,ground level,1.317,,
Kalugamuwa,village,80.25801,7.44905,75.6,159.4,17.6,<=30 m (10 storeys),,,
Godapitiya,village,80.49088,6.12591,75.6,0.7,194.1,never,,,
Gurulupotha,village,80.92903,7.34133,75.6,218.9,1854.9,never,,,
Induragara,village,79.96691,7.23814,75.6,128.9,2.4,<=10 m (3 storeys),,,
Uhumeeya,suburb,80.29494,7.46249,75.7,162.7,2.8,<=10 m (3 storeys),,,
Mandandawela,village,80.62386,7.48242,75.7,190.5,178.7,never,,,
Malkaduwawa,village,80.34422,7.477,75.8,167.0,-0.4,ground level,1.268,,
Gurulupotha,village,80.92547,7.34643,75.8,218.4,1802.5,never,,,
Gerandi-Ella,village,81.1606,6.99309,75.8,254.5,766.3,never,,,
Diyalape,village,80.4624,6.12373,75.9,3.1,250.4,never,,,
Ganhela,village,80.47846,6.12373,75.9,1.8,376.7,never,,,
Bamunawela,village,80.32119,7.47255,75.9,165.0,1.5,ground level,1.28,,
Kotamuduna,village,81.18232,6.88488,75.9,263.7,1826.2,never,,,
Uva Kuda Oya,village,81.12422,6.52341,76.0,294.6,662.9,never,,,
Eramudugoda,village,80.43822,6.12475,76.0,5.1,83.9,<=100 m (33 storeys),,,
Ketanwila,village,80.42678,6.12517,76.1,6.1,87.6,<=100 m (33 storeys),,,
Unanvitiya,village,80.25362,6.16712,76.1,21.0,77.6,<=100 m (33 storeys),,,
Peellawatte,village,79.91919,7.17965,76.1,122.6,-0.8,ground level,1.342,,
Wathuregama,village,80.0399,6.29559,76.2,41.9,-1.1,ground level,1.342,,
Meegahajandura,village,81.02945,6.36863,76.2,309.8,0.5,ground level,1.295,,
Medawelagama,village,81.16933,6.97435,76.2,256.2,1008.9,never,,,
Horabokka,village,81.18914,6.79401,76.3,271.3,2291.3,never,,,
Kaludewela,village,80.62941,7.48737,76.3,190.9,162.3,never,,,
Kurunegala,city,80.36491,7.48705,76.4,168.8,106.8,<=150 m (50 storeys),,,
Medamulana,village,80.77942,6.17827,76.4,336.1,265.9,never,,,
Bamunugama,village,80.59232,6.1239,76.5,352.3,480.0,never,,,
Yaggasmulla,village,80.76054,6.16854,76.5,337.8,599.7,never,,,
Morayaya,village,80.98093,7.30654,76.5,224.1,1897.6,never,,,
Padalangala,town,80.91331,6.25367,76.6,323.3,1.0,ground level,1.299,,
Neraluwa,village,80.43562,6.11996,76.6,5.3,73.1,<=100 m (33 storeys),,,
Ittademaliya,village,80.72663,6.15478,76.6,340.9,947.0,never,,,
Akarangaha,village,79.98867,7.27775,76.6,132.6,5.1,<=10 m (3 storeys),,,
Bopitiya,village,79.85932,7.07953,76.8,113.0,0.6,ground level,1.331,04 Jan,07 Dec
Pulluhena,village,79.85722,7.07447,76.8,112.5,0.1,ground level,1.331,08 Jan,03 Dec
Kuswala,village,79.89392,7.15179,76.9,119.6,1.8,<=10 m (3 storeys),,,
Muththettugala,village,80.37753,7.49444,76.9,170.0,174.7,never,,,
Uva Pelwatte,village,81.19359,6.74667,77.0,275.2,2243.7,never,,,
Mahamaditta,village,80.66029,6.13178,77.0,346.7,567.4,never,,,
Tholabowatta,village,81.18488,6.93671,77.0,259.5,1414.5,never,,,
Talahagamwaduwa,village,80.70301,6.14252,77.1,343.0,782.9,never,,,
Buddiyagama,village,80.74666,6.15752,77.1,339.2,720.1,never,,,
Wettambuwawa,village,80.76708,6.16539,77.1,337.4,435.6,never,,,
Wellabada,village,80.03865,6.28532,77.2,41.4,-0.6,ground level,1.318,,
Poramba,village,80.45408,6.11243,77.2,3.8,98.5,<=100 m (33 storeys),,,
Seeduwa,town,79.87824,7.13063,77.3,117.4,3.2,<=10 m (3 storeys),,,
Kandebedda,village,80.66845,6.13134,77.3,346.0,582.3,never,,,
Pallawela,village,80.62628,6.12241,77.3,349.6,649.9,never,,,
Mahadowa,village,81.16799,7.01553,77.3,252.8,449.0,never,,,
Thalgaskanda,village,80.08123,6.24876,77.4,36.8,1.9,<=10 m (3 storeys),,,
Andiambalama,village,79.90782,7.18449,77.4,122.5,-0.7,ground level,1.308,,
Balapitiya,town,80.04058,6.28058,77.4,41.0,0.5,ground level,1.314,,
Keppitiyawa,village,80.73966,6.15237,77.4,339.9,977.2,never,,,
Aluwihare,suburb,80.62342,7.49793,77.4,190.2,107.3,<=150 m (50 storeys),,,
Metigahathenna,village,81.14682,7.07732,77.4,247.5,1399.2,never,,,
Yaggepitiya,village,80.39034,7.50048,77.4,171.1,355.7,never,,,
Moratuwegama,village,81.19981,6.82311,77.4,268.9,2195.9,never,,,
Badalgama,village,79.98558,7.28641,77.5,133.0,2.1,<=10 m (3 storeys),,,
Magedara,village,80.42219,6.11323,77.5,6.4,61.2,<=100 m (33 storeys),,,
Nayapamula,village,80.19105,6.18062,77.5,26.2,79.8,<=100 m (33 storeys),,,
Kadawala,village,79.9411,7.23403,77.5,127.3,2.8,<=10 m (3 storeys),,,
Urala,village,80.2707,6.14741,77.5,19.1,67.6,<=100 m (33 storeys),,,
Thalawa,village,80.29126,6.14001,77.5,17.3,37.6,<=60 m (20 storeys),,,
Ihala Madampella,village,79.95312,7.24897,77.5,128.9,5.0,<=10 m (3 storeys),,,
Aswedduma,village,80.33869,7.49294,77.6,166.8,-0.6,ground level,1.234,,
Manikgoda,village,80.43487,6.10999,77.7,5.3,-5.1,ground level,1.215,,
Madulsima,town,81.16562,7.03287,77.7,251.4,789.8,never,,,
Sandagala,village,80.29804,7.48288,77.7,163.4,-2.1,ground level,1.223,,
Kuruwithenna,village,81.0665,7.22539,77.7,233.7,2651.8,never,,,
Watugedara,village,80.06025,6.26056,77.7,38.7,1.5,ground level,1.303,,
Pannala,town,80.02411,7.32836,77.8,137.6,1.6,ground level,1.291,,
Denagama - East,village,80.65541,6.1232,77.8,347.2,599.4,never,,,
Thalgasgoda,village,80.07477,6.24733,77.9,37.1,0.5,ground level,1.3,,
Akaragama,village,79.9636,7.26739,77.9,130.6,3.4,<=10 m (3 storeys),,,
Hasalaka,town,80.95061,7.35209,78.0,219.7,1936.5,never,,,
Horapawita,village,80.58009,6.10764,78.1,353.5,383.4,never,,,
Attanayala,village,80.78783,6.16446,78.1,335.9,248.7,never,,,
Manampita,village,80.13815,6.20217,78.1,30.8,36.3,<=60 m (20 storeys),,,
Thorayaya,village,80.40751,7.50932,78.1,172.6,275.5,never,,,
Yanthampalawa,village,80.34858,7.5005,78.2,167.7,47.3,<=60 m (20 storeys),,,
Liyanagemulla,village,79.87454,7.14103,78.2,118.0,4.2,<=10 m (3 storeys),,,
Pitamaaruwa,village,81.12879,7.13211,78.2,242.8,1036.5,never,,,
Gamewela,village,81.19735,6.92329,78.2,260.7,1480.4,never,,,
Waradola,village,81.19985,6.91193,78.2,261.7,1890.5,never,,,
Pamunugama,village,79.85013,7.09257,78.3,113.6,0.4,ground level,1.293,,
Mandaduwa,village,80.76911,6.15513,78.3,337.6,498.5,never,,,
Lelwala Ihala,village,80.24919,6.1469,78.3,20.7,29.4,<=30 m (10 storeys),,,
Katamburawa,village,80.25643,6.14443,78.3,20.1,52.6,<=60 m (20 storeys),,,
Meedumpitiya,village,81.19383,6.94846,78.3,258.7,1179.4,never,,,
Akuressa,town,80.47649,6.10118,78.4,1.9,348.8,never,,,
Andiambalama,village,79.89914,7.18726,78.4,122.3,-0.0,ground level,1.287,,
Alakoladeniya,village,80.32268,7.49639,78.4,165.6,4.8,<=10 m (3 storeys),,,
Thalakolawewa,village,81.18764,6.63792,78.4,284.0,1745.8,never,,,
,village,80.03943,6.26891,78.5,40.5,1.1,ground level,1.282,,
Sooriyawewa,town,81.00218,6.30818,78.5,314.9,-2.4,ground level,1.234,,
Thotagamuwa,village,80.62294,7.50888,78.5,190.0,81.4,<=100 m (33 storeys),,,
Kiriwaula,village,80.42043,7.51509,78.5,173.7,6.1,<=10 m (3 storeys),,,
Rambadagalla,village,80.50373,7.51893,78.5,180.4,325.1,never,,,
Ampegama,village,80.14567,6.19395,78.5,29.9,31.6,<=60 m (20 storeys),,,
Koraburuwana,village,80.55489,6.10079,78.6,355.6,481.1,never,,,
Millabedda,village,81.19319,6.9666,78.6,257.2,1061.5,never,,,
Weeraketiya,town,80.76324,6.14843,78.7,338.3,497.5,never,,,
Kadigamuwa,village,80.72565,6.13434,78.7,341.5,812.1,never,,,
Awariwatte,suburb,79.88302,7.16571,78.7,120.1,-0.2,ground level,1.281,,
Sacret City,village,80.99301,7.32219,78.7,223.9,1954.7,never,,,
Denagama - West,village,80.64622,6.11308,78.7,348.1,740.0,never,,,
Bodagama,village,81.10202,6.42862,78.8,302.3,0.2,ground level,1.213,,
Mahasenpura,village,81.20875,6.73984,78.8,275.6,2253.4,never,,,
Indurupathwila,village,80.22107,6.1537,78.8,23.1,55.1,<=60 m (20 storeys),,,
Maapakadawewa,village,81.02792,7.28774,78.8,227.8,2215.3,never,,,
Paragahathota,village,80.05437,6.25313,78.8,38.7,9.3,<=10 m (3 storeys),,,
Godigomuwa,village,79.96258,7.27998,78.9,131.3,6.7,<=10 m (3 storeys),,,
Baddegama,village,80.17792,6.17248,78.9,26.8,58.2,<=60 m (20 storeys),,,
Denagama - North,village,80.63874,6.1093,78.9,348.8,687.8,never,,,
Weerambugedara,village,80.24232,7.47608,79.0,159.0,2.8,<=10 m (3 storeys),,,
Uduwella,village,80.41147,6.10069,79.0,7.1,74.0,<=100 m (33 storeys),,,
Miella,village,80.6718,6.11655,79.0,346.0,607.1,never,,,
Uda Digana,village,80.33972,7.50543,79.0,167.1,0.3,ground level,1.198,,
Unaawatuna,village,81.21275,6.7622,79.0,273.8,2616.8,never,,,
Weragantota,village,80.98368,7.33659,79.1,222.5,1909.3,never,,,
Kaikawala,village,80.65846,7.50736,79.1,192.8,85.9,<=100 m (33 storeys),,,
Thibotuwawa,village,80.48744,6.09343,79.2,1.0,1.1,ground level,1.257,,
Alupotha,village,81.21118,6.89658,79.2,263.0,1717.9,never,,,
Lelwala Pahala,village,80.24107,6.14101,79.2,21.2,52.5,<=60 m (20 storeys),,,
Katunayake,town,79.87167,7.15677,79.3,119.0,-1.0,ground level,1.269,,
Kapugampota,village,80.7791,6.14934,79.3,337.1,322.4,never,,,
Kongodamulla,village,79.93133,7.24822,79.3,127.8,-1.4,ground level,1.255,,
Bakmeegolla,village,80.43058,7.52367,79.3,174.5,-1.3,ground level,1.183,,
Yakkalamulla,town,80.34854,6.10767,79.4,12.2,94.7,<=100 m (33 storeys),,,
Kamburuwana,village,80.56542,6.09436,79.4,354.8,356.4,never,,,
Medatisamuna,village,80.77337,6.14614,79.4,337.6,471.1,never,,,
Wanduramba,town,80.25498,6.13466,79.4,20.0,48.1,<=60 m (20 storeys),,,
Randombe,village,80.04423,6.25253,79.5,39.3,-2.7,ground level,1.257,,
Madampella,village,79.9394,7.26097,79.5,129.0,2.2,<=10 m (3 storeys),,,
Wathurawa,village,80.2272,6.14375,79.5,22.3,16.4,<=30 m (10 storeys),,,
Meemure,village,80.84421,7.44152,79.6,208.6,1359.9,never,,,
Galthara,village,80.55037,6.09106,79.6,356.0,396.0,never,,,
Minuwandeniya,village,80.3912,6.09771,79.6,8.7,214.3,never,,,
Polpagoada,village,80.37548,6.10073,79.6,10.0,74.4,<=100 m (33 storeys),,,
Panawela,village,80.68124,6.11283,79.6,345.4,718.9,never,,,
Wakamulla,village,80.78972,6.15076,79.6,336.2,178.1,never,,,
Dambaraawa,village,81.01129,7.31633,79.6,225.3,1911.3,never,,,
Lunugala Colony,village,81.21991,6.8094,79.6,270.0,2375.2,never,,,
Madugasmulla,village,81.21686,6.87679,79.6,264.6,2095.8,never,,,
Narawelpita - North,village,80.62158,6.10009,79.6,350.3,578.0,never,,,
Denagama - South,village,80.65869,6.10789,79.6,347.2,566.9,never,,,
Hopton,village,81.19821,6.98771,79.7,255.7,954.8,never,,,
Kimbulapitiya,village,79.89571,7.20568,79.8,123.4,1.7,<=10 m (3 storeys),,,
Gonigala,village,80.3018,7.50381,79.8,164.2,-0.8,ground level,1.177,,
Ambalangoda,town,80.05415,6.23891,80.0,38.0,-1.0,ground level,1.248,,
Divulagaspitiya,village,80.2907,7.50205,80.0,163.3,0.4,ground level,1.183,,
Mahiyanganaya,town,80.99313,7.34017,80.1,222.9,1860.3,never,,,
Thiththawella,village,80.33583,7.51531,80.1,167.0,-1.9,ground level,1.169,,
Ihala Athuraliya,village,80.49985,6.08545,80.1,360.0,94.8,<=100 m (33 storeys),,,
Karagoda,village,80.38396,6.09409,80.1,9.2,189.9,never,,,
Beranagoda,village,80.34371,6.10146,80.2,12.4,19.1,<=30 m (10 storeys),,,
Miriswatte,village,79.9089,7.23044,80.2,125.6,-0.5,ground level,1.241,,
Mulkirigala,village,80.74733,6.12722,80.3,340.0,919.8,never,,,
Kumbukmulla,village,80.79762,6.14688,80.3,335.8,172.5,never,,,
Otharawadiya,village,79.94051,7.27382,80.3,129.8,3.0,<=10 m (3 storeys),,,
Yapamma,village,81.19792,7.0108,80.3,253.9,992.8,never,,,
Pananwela,village,80.67952,6.10566,80.3,345.7,584.8,never,,,
Wepathaira - North,village,80.66079,6.10108,80.3,347.2,542.9,never,,,
Harshanatha Gama,village,80.61444,6.09275,80.3,350.9,484.1,never,,,
Kapungoda,town,79.84101,7.11892,80.4,115.3,1.5,ground level,1.243,,
Ganegama,village,80.57954,6.08624,80.5,353.7,357.0,never,,,
Malamulla,suburb,80.09907,7.41819,80.5,146.8,3.5,<=10 m (3 storeys),,,
Sapugoda,village,80.55717,6.0824,80.6,355.5,550.1,never,,,
Kottawa,village,80.31697,6.10276,80.7,14.5,64.7,<=100 m (33 storeys),,,
