name,place,lon,lat,distance_km,bearing_to_summit_deg,required_height_m,visibility,angular_height_deg,sunrise_align_1,sunrise_align_2
Pahala Rambukpitiya,village,80.50187,7.03622,25.1,180.6,-5.1,ground level,3.474,,
Wathupitiya,village,80.42988,6.59305,25.1,17.9,38.4,<=60 m (20 storeys),,,
Ketabulawa,village,80.59461,7.01507,25.1,204.8,534.6,never,,,
Ellekanda,village,80.64899,6.63466,25.4,319.5,887.1,never,,,
Kurugammodara,village,80.28391,6.73048,25.4,69.9,94.6,<=100 m (33 storeys),,22 May,21 Jul
Waltrim,village,80.7049,6.9123,25.4,243.4,386.9,never,,,
Boralankada,village,80.33558,6.97018,25.4,134.5,24.7,<=30 m (10 storeys),,,
Bulathgama,village,80.68313,6.67138,25.4,307.0,650.8,never,,,
Morahela,village,80.69483,6.68722,25.5,302.1,733.6,never,,,
Hunuwala,village,80.60889,6.6064,25.5,331.7,222.9,never,,,
Galathura,village,80.29049,6.70973,25.6,64.5,6.8,<=10 m (3 storeys),,,
Theligama,village,80.36567,6.99932,25.7,144.9,560.1,never,,,
Asgangula,village,80.27134,6.85303,25.7,100.9,109.0,<=150 m (50 storeys),,22 Feb,19 Oct
Halkandaliya,village,80.45601,6.58002,25.8,10.8,22.7,<=30 m (10 storeys),,,
Idangoda,village,80.27857,6.73134,25.9,70.6,56.9,<=60 m (20 storeys),,19 May,24 Jul
Denagama,village,80.71381,6.71522,25.9,293.8,931.3,never,,,
Weligampola,village,80.52159,7.04265,25.9,185.5,101.9,<=150 m (50 storeys),,,
Digana,village,80.37773,6.60983,25.9,31.4,39.2,<=60 m (20 storeys),,,
Bawwagama,village,80.53119,7.04252,26.0,187.8,78.8,<=100 m (33 storeys),,,
Opanayake,town,80.62292,6.60853,26.1,328.5,540.4,never,,,
Karawita,town,80.41614,6.58857,26.1,20.7,-7.3,ground level,4.398,,
Kiriella,town,80.27308,6.73796,26.2,72.5,-2.2,ground level,4.625,10 May,01 Aug
Kahawatta,town,80.57327,6.58318,26.3,342.0,56.4,<=60 m (20 storeys),,,
Wegapitiya,village,80.69973,6.68028,26.3,302.8,668.7,never,,,
Dangampola,village,80.29741,6.93764,26.4,122.5,22.7,<=30 m (10 storeys),,,
Nelliwala,village,80.71237,6.70087,26.4,297.0,1172.4,never,,,
Gurupaswala,village,80.63412,6.61256,26.4,325.7,863.7,never,,,
Maria Bazaar,village,80.72146,6.89658,26.4,248.6,156.2,never,,,
Panawala,village,80.27363,6.89016,26.5,109.7,62.3,<=100 m (33 storeys),,24 Jan,17 Nov
Uda yogama,village,80.28879,6.92375,26.5,118.5,-2.3,ground level,4.326,,
Udawela,village,80.70872,6.69191,26.5,299.3,920.9,never,,,
Colambagama,village,80.48433,6.5707,26.5,3.7,137.2,<=150 m (50 storeys),,,
Withanagama,village,80.31171,6.66027,26.5,51.6,293.9,never,,,
Kambiadiya,village,80.27569,6.89905,26.6,111.9,64.3,<=100 m (33 storeys),,15 Jan,26 Nov
Dandeniya,village,80.61679,6.59989,26.6,330.8,253.8,never,,,
Eheliyagoda,town,80.26254,6.85313,26.6,100.5,28.3,<=30 m (10 storeys),,23 Feb,18 Oct
Madola,village,80.64685,6.61916,26.6,322.3,1062.8,never,,,
Mahakanda,village,80.31312,6.96263,26.7,129.5,-10.7,ground level,4.162,,
